date,year,month,month_name,quarter,quarter_label,year_month,day_of_week,is_weekend,week_number
2017-01-05,2017,1,January,1,Q1,2017-01,Thursday,0,1
2017-01-06,2017,1,January,1,Q1,2017-01,Friday,0,1
2017-01-07,2017,1,January,1,Q1,2017-01,Saturday,1,1
2017-01-08,2017,1,January,1,Q1,2017-01,Sunday,1,1
2017-01-09,2017,1,January,1,Q1,2017-01,Monday,0,2
2017-01-10,2017,1,January,1,Q1,2017-01,Tuesday,0,2
2017-01-11,2017,1,January,1,Q1,2017-01,Wednesday,0,2
2017-01-12,2017,1,January,1,Q1,2017-01,Thursday,0,2
2017-01-13,2017,1,January,1,Q1,2017-01,Friday,0,2
2017-01-14,2017,1,January,1,Q1,2017-01,Saturday,1,2
2017-01-15,2017,1,January,1,Q1,2017-01,Sunday,1,2
2017-01-16,2017,1,January,1,Q1,2017-01,Monday,0,3
2017-01-17,2017,1,January,1,Q1,2017-01,Tuesday,0,3
2017-01-18,2017,1,January,1,Q1,2017-01,Wednesday,0,3
2017-01-19,2017,1,January,1,Q1,2017-01,Thursday,0,3
2017-01-20,2017,1,January,1,Q1,2017-01,Friday,0,3
2017-01-21,2017,1,January,1,Q1,2017-01,Saturday,1,3
2017-01-22,2017,1,January,1,Q1,2017-01,Sunday,1,3
2017-01-23,2017,1,January,1,Q1,2017-01,Monday,0,4
2017-01-24,2017,1,January,1,Q1,2017-01,Tuesday,0,4
2017-01-25,2017,1,January,1,Q1,2017-01,Wednesday,0,4
2017-01-26,2017,1,January,1,Q1,2017-01,Thursday,0,4
2017-01-27,2017,1,January,1,Q1,2017-01,Friday,0,4
2017-01-28,2017,1,January,1,Q1,2017-01,Saturday,1,4
2017-01-29,2017,1,January,1,Q1,2017-01,Sunday,1,4
2017-01-30,2017,1,January,1,Q1,2017-01,Monday,0,5
2017-01-31,2017,1,January,1,Q1,2017-01,Tuesday,0,5
2017-02-01,2017,2,February,1,Q1,2017-02,Wednesday,0,5
2017-02-02,2017,2,February,1,Q1,2017-02,Thursday,0,5
